project_name,institution_count,institution
COPLI - Creating a FAIR Open Science Pipeline for high-resolution LOFAR Imaging,1,Leiden University
Astro-DM TSP - The Astronomy Dark Matter Test Science Project,1,The Open University
HiMAGNETOS: High Magnetic Field Open Science,1,Laboratoire National des Champs Magnétiques Intenses (CNRS)
HarDIS - Harmony in the Democratic Ideological Space,1,GESIS - Leibniz-Institute for the Social Sciences (coordinator)
FAIRification of IsoSeq Evidence-driven annotation of the biodiversity,1,Spanish National Research Council-Institute for Integrative Systems Biology
FAIRY - FAIRification of YEASTRACT+ to Support Yeast-based Bioeconomy and Health,1,INESC-ID Lisboa (coordinator); Instituto Superior Técnico - Universidade de Lisboa
ETAP - Einstein Telescope Analysis Portal,1,University of Geneva
EVA-FAIR - Implementing FAIR principles in the European Vegetation Archive data,1,Masaryk University
HEFTIE - Handling Enormous Files from Tomographic Imaging Experiments,1,University College London
LabID-PROV: Tracking and Sharing Data Provenance with RO-Crate in Lab Integrated Data,1,European Molecular Biology Laboratory - EMBL (coordinator)
STARLIGHT - Stereo Telescopes Analysis Real-time Leading-edge Innovation Gamma High-Throughput data,1,CNRS-LAPP
ioChem-BD: Open-Data for Computational Chemistry and Materials Science,1,Institut Català d'Investigació Química
VISA: User experience enhancement,1,Institut Laue-Langevin
RSOTC - The Regional State of the Climate dashboard,1,Predictia Intelligent Data Solutions SL and Consejo Superior de Investigaciones Científicas (coordinator)
PNU-OpenLab - Advanced Materials Open Science Centre at the Precarpathian National University,1,Vasyl Stefanyk Precarpathian National University
"NAPMIX: Nuclear, Astro, and Particle Metadata Integration for eXperiments",1,GSI Helmholtzzentrum für Schwerionenforschung GmbH
PaN-Finder: Photon and Neutron federated knowledge finder,1,European Spallation Source
Streamlining open data policies in Rucio data management platform,1,CERN
FAIRGamma: Contribution for the FAIRisation of Gammapy,2,CNRS/Université Paris Cité
FAIRMD - Disorder to Order: Streamlining Biomolecule Simulation Re-Use with FAIR NMRlipids database,2,VTT
MADDEN - Multi-RI Access and Discovery of Data for Experiment Networking,2,Institut de Recherche en Mathématique et Physique - Université catholique de Louvain - IRMP - UCLouvain
GASPS - Gaia All-Sky Parameters for Stars Service,2,ACRI-ST SAS
"FAIR-EO - FAIR, Open and AI-Ready Earth Observation Resources",2,Bias Variance Labs d.o.o.
FAIRMD - Disorder to Order: Streamlining Biomolecule Simulation Re-Use with FAIR NMRlipids database,2,University of Bergen
"FAIR-EO - FAIR, Open and AI-Ready Earth Observation Resources",2,Jožef Stefan Institute
FAIRGamma: Contribution for the FAIRisation of Gammapy,2,APC
AQUANAVI: Navigating Grand Challenges and their Mitigation using Aquatic Experimental RIs,2,Open Knowledge Maps (OKMaps)
AQUANAVI: Navigating Grand Challenges and their Mitigation using Aquatic Experimental RIs,2,Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB)
BIO-CODES - Enhancing AI-Readiness of Bioimaging Data with Content-Based Identifiers,2,Leiden University
BIO-CODES - Enhancing AI-Readiness of Bioimaging Data with Content-Based Identifiers,2,ISCC Foundation
DraCorOS. Fostering Open Science in Digital Humanities by connecting the “DraCor” Ecosystem to EOSC,2,University of Potsdam (coordinator)
DraCorOS. Fostering Open Science in Digital Humanities by connecting the “DraCor” Ecosystem to EOSC,2,Freie Universität Berlin
Opravidlo 2.0 – Public Online Proofreading Service,2,Masaryk University
OPAL - Ontology Portal for Astronomy Linked-data,2,INRAE
OSPARK Bootcamp - Open Science Promotion and Advocacy for Research Knowledge Bootcamp,2,Digital Research Academy
OPAL - Ontology Portal for Astronomy Linked-data,2,OBS-PARIS
